Season,Week,Day,Date,Propers,Name,Morning Psalm,Moring First Lesson,Morning Second Lesson,Evening Psalm,Evening First Lesson,Evening Second Lesson,
Advent,1st Week,Sunday,,1st,First Sunday in Advent,Psalm 50,"Malachi 3:1-6, 4:4-6",Luke 1:5-25,"Psalm 48, Psalm 126",Isaiah 62,Matthew 25:1-13,
Advent,1st Week,Sunday,,2nd,First Sunday in Advent,"Psalm 46, Psalm 97",Isaiah 28:14-22,Hebrews 12:14,Psalm 18:1-20,Isaiah 13:6-13,I Thessalonians 5:1-11,
Advent,1st Week,Monday,,,Monday,"Psalm 1, Psalm 3",Isaiah 1:1-9,Mark 1:1-13,"Psalm 4, Psalm 8",Isaiah 1:10-20,Revelation 3:14,
Advent,1st Week,Tuesday,,,Tuesday,Psalm 7,Isaiah 1:21-28,Mark 1:14-28,"Psalm 11, Psalm 12",Isaiah 2:1-5,Revelation 4,
Advent,1st Week,Wednesday,,,Wednesday,Psalm 9,Isaiah 2:6-19,Mark 1:29-39,"Psalm 15, Psalm 19","Isaiah 3:1-3, 8-15",Revelation 5,
Advent,1st Week,Thursday,,,Thursday,Psalm 10,Isaiah 4:2,Mark 1:40,"Psalm 24, Psalm 30",Isaiah 5:1-7,Revelation 6:1-11,
Advent,1st Week,Friday,,,Friday,Psalm 22,Isaiah 5:8-29,Mark 2:1-12,"Psalm 6, Psalm 13",Isaiah 6:1-11,"Revelation 7:1-4, 9-17",
Advent,1st Week,Saturday,,,Saturday,"Psalm 28, Psalm 29",Isaiah 7:1-9,Mark 2:13-22,Psalm 27,Isaiah 7:10-20,Revelation 10,
,,,,,,,,,,,,
Advent,2nd Week,Sunday,,1st,Second Sunday in Advent,Psalm 25,Isaiah 52:1-10,Luke 1:26-56,Psalm 119:89-104,Amos 3:1-8,I Thessalonians 2:1-13,
Advent,2nd Week,Sunday,,2nd,Second Sunday in Advent,Psalm 119:1-1-16 (Section I - II),Isaiah 55,II Timothy 3,"Psalm 67, Psalm 111",Isaiah 11:1-10,John 5:30-40,
Advent,2nd Week,Monday,,,Monday,Psalm 33,"Isaiah 8:5-8, 11-20",Mark 2:23 - 3:6,"Psalm 42, Psalm 43",Isaiah 9:8-17,Revelation 11:15,
Advent,2nd Week,Tuesday,,,Tuesday,Psalm 48,Isaiah 9:18 - 10:4,Mark 3:7-19,"Psalm 46, Psalm 47","Isaiah 10:5-7, 13-21",Revelation 12:1-12,
Advent,2nd Week,Wednesday,,,Wednesday,Psalm 50,Isaiah 11:1-10,Mark 3:20,Psalm 49,Isaiah 12,Revelation 13:1-10,
Advent,2nd Week,Thursday,,,Thursday,"Psalm 62, Psalm 63","Isaiah 13:1-5, 17-22",Mark 4:1-20,Psalm 66,Isaiah 13:6-15,Revelation 14:1-13,
Advent,2nd Week,Friday,,,Friday,Psalm 73,Isaiah 24:16b,Mark 4:21-29,Psalm 77,Isaiah 26:11-19,Revelation 15,
Advent,2nd Week,Saturday,,,Saturday,Psalm 80,Isaiah 28:1-13,Mark 4:30,Psalm 65,Isaiah 28:14-22,Revelation 18:1-10,
,,,,,,,,,,,,
Advent,3rd Week,Sunday,,1st,Third Sunday in Advent,"Psalm 22:23, Psalm 99","Jeremiah 1:4-10, 17-19",Luke 1:57,"Psalm 132, Psalm 134","Nahum 1:3-8, 15",I Corinthians 9:7-23,
Advent,3rd Week,Sunday,,2nd,Third Sunday in Advent,"Psalm 85, Psalm 107:1-16",Isaiah 35,I Thessalonians 5:12-23,"Psalm 30, Psalm 130",Isaiah 26:1-11,Matthew 9:35 - 10:15,
Advent,3rd Week,Monday,,,Monday,Psalm 84,"Isaiah 29:1-4, 9-14",Mark 5:1-20,"Psalm 75, Psalm 76",Isaiah 29:15,Revelation 18:11,
Advent,3rd Week,Tuesday,,,Tuesday,Psalm 90,Isaiah 30:8-17,Mark 5:21,Psalm 91,Isaiah 30:18-26,Revelation 19:1-16,
Advent,3rd Week,Wednesday,,,Ember Wednesday,"Psalm 1, Psalm 15",Jeremiah 23:9-15,Luke 12:35-48,Psalm 92,Jeremiah 23:16-22,Matthew 28:16,
Advent,3rd Week,Thursday,,,Thursday,Psalm 96,"Isaiah 32:1-4, 15-20",Mark 6:1-6,"Psalm 93, Psalm 98",Isaiah 33:1-10,Revelation 20:1-6,
Advent,3rd Week,Friday,,,Ember Friday,Psalm 40:1-16,Jeremiah 23:23-32,II Corinthians 5:5,Psalm 51,"Jeremiah 26:1-7, 10-15",II Timothy 3:14 - 4:8,
Advent,3rd Week,Saturday,,,Ember Saturday,"Psalm 42, Psalm 43",Malachi 2:1-9,Matthew 9:35 - 10:15,Psalm 103,Malachi 3:1-6,Hebrews 4:14 - 5:10,
,,,,,,,,,,,,
Advent,4th Week,Sunday,,1st,Fourth Sunday in Advent,Psalm 80,Isaiah 40:1-11,Luke 3:1-17,Psalm 33,"Isaiah 40:12-18, 21-31",I Thessalonians 3:7,
Advent,4th Week,Sunday,,2nd,Fourth Sunday in Advent,"Psalm 77, Psalm 100",Jeremiah 33:7-16,I Thessalonians 1,"Psalm 102:15, Psalm 146",Isaiah 42:1-16,Matthew 11:11-24,
Advent,4th Week,Monday,,,Monday,Psalm 116,Isaiah 33:13,Luke 1:5-25,Psalm 104,Isaiah 35,Revelation 20:7,
Advent,4th Week,Tuesday,,,Tuesday,"Psalm 130, Psalm 131",Isaiah 25:1-9,Luke 1:26-38,"Psalm 114, Psalm 122","Genesis 49:1-2, 8-10",Revelation 21:1-8,
Advent,4th Week,Wednesday,,,Wednesday,Psalm 132,"Zechariah 8:1-8, 20-23",Luke 1:39-45,Psalm 139,Haggai 2:1-9,Revelation 21:9,
Advent,4th Week,Thursday,,,Thursday,Psalm 144,II Samuel 7:18,Luke 1:46-56,Psalm 145,Zephaniah 3:14,Revelation 22:1-9,
Advent,4th Week,Friday,,,Friday,Psalm 147,I Samuel 2:1b-10,Luke 1:57-66,"Psalm 148, Psalm 150",Jeremiah 23:5-8,Revelation 22:10,
,,,24-Dec,,Christmas Eve,Psalm 50,Baruch 4:36-5:9,Luke 1:67-80,Psalm 85,Zechariah 2:10-13,Matthew 1:18-25,
,,,,,,,,,,,,
,,,25-Dec,,Christmas Day,Psalm 89:1-30,Isaiah 9:2-7,Luke 2:1-20,Psalm 45,"Micah 4:1-5, 5:2-4",I John 4:7-14,
,,,26-Dec,,St. Stephen the Martyr,Psalm 118,II Chronicles 24:17-22,Acts 6,"Psalm 30, Psalm 31:1-6",Wisdom 4:7-15,Acts 7:59 - 8:8,
,,,27-Dec,,St. John the Evangelist,"Psalm 23, Psalm 24",Exodus 33:12-23,"John 13:20-26, 31-35",Psalm 97,Isaiah 6:1-8,Revelation 1,
,,,28-Dec,,The Holy Innocents,"Psalm 8, Psalm 26","Jeremiah 31:1-6, 15-16",Matthew 18:1-14,"Psalm 19, Psalm 126",Isaiah 54:1-13,"Mark 10:13-16, 23-31",
,,,,,,,,,,,,
Christmas,1st Week,Sunday,,1st,First Sunday after Christmas,Psalm 145,Isaiah 9:2-7,Luke 2:1-20,"Psalm 68, Psalm 27",Isaiah 63:7-16,II Peter 1:1-12,
Christmas,1st Week,Sunday,,2nd,First Sunday after Christmas,"Psalm 98, Psalm 138",Isaiah 49:8-13,Hebrews 2,"Psalm 8, Psalm 113",Job 28:12-28,Matthew 11:25-30,
,,,29-Dec,,December 29th,Psalm 27,Isaiah 56:1-8,I John 1:1-10,"Psalm 20, Psalm 21:1-6",Isaiah 57:13-21,Hebrews 1,
,,,30-Dec,,December 30th,Psalm 33,"Isaiah 59:1-3, 15b-21",I John 2:1-17,"Psalm 111, Psalm 112",Isaiah 60:13-22,Hebrews 2,
,,,31-Dec,,December 31st,Psalm 147,Isaiah 62:1-12,I John 2:18-29,"Psalm 90, Psalm 150",Deuteronomy 10:12 - 11:1,Hebrews 3,
,,,1-Jan,,Circumcision,Psalm 103,Deuteronomy 30:1-10,Ephesians 2:11-22,Psalm 148,Deuteronomy 30:11-20,Revelation 19:11-16,
,,,,,,,,,,,,
Christmas,2nd Week,Sunday,,1st,Second Sunday after Christmas,"Psalm 65, Psalm 121","Micah 4:1-5, 5:2-4",Luke 2:21-32,"Psalm 111, Psalm 112","Proverbs 9:1-6, 10",II Corinthians 4:1-6,
Christmas,2nd Week,Sunday,,2nd,Second Sunday after Christmas,Psalm 89:1-30,"Isaiah 44:1-8, 21-23",Colossians 2:6-17,Psalm 132,Haggai 2:1-9,Luke 2:34-40,
,,,2-Jan,,January 2nd,Psalm 37:26,Isaiah 63:7-14,I John 3:1-11,"Psalm 2, Psalm 110",Isaiah 63:15-64:1,Hebrews 4:1-13,
,,,3-Jan,,January 3rd,Psalm 66,Isaiah 64:4,I John 3:13,Psalm 34,Isaiah 65:8-16,Hebrews 4:14-5:14,
,,,4-Jan,,January 4th,Psalm 92,Isaiah 65:17,I John 4,Psalm 91,"Isaiah 66:1-2, 5-13",Hebrews 6:1-12,
,,,5-Jan,,January 5th,Psalm 144,Isaiah 66:18-23,I John 5,"Psalm 29, Psalm 98",Isaiah 49:1-7,Luke 3:15-22,
,,,,,,,,,,,,
,,,6-Jan,,Epiphany,"Psalm 46, Psalm 100",Isaiah 60:1-9,II Corinthians 4:1-6,Psalm 72,Isaiah 61,Romans 15:8-21,
,,,7-Jan,,January 7th,Psalm 85,Isaiah 42:1-9,Matthew 3:13,"Psalm 97, Psalm 99",Isaiah 43:1-12,Acts 11:1-18,
,,,8-Jan,,January 8th,Psalm 65,Isaiah 45:20,Mark 9:2-13,"Psalm 93, Psalm 96",Isaiah 48:12-21,"Acts 26:1, 13-23",
,,,9-Jan,,January 9th,"Psalm 22:23, Psalm 24","Isaiah 49:8-13, 22-23",I John 1:1-9,"Psalm 48, Psalm 117",Isaiah 54:1-10,Acts 28:23,
,,,10-Jan,,January 10th,"Psalm 67, Psalm 87",Isaiah 19:19,Colossians 2:6-17,"Psalm 138, Psalm 146","Zechariah 8:11-13, 20-23",Romans 10:1-20,
,,,11-Jan,,January 11th,Psalm 102:15,Jonah 4,I Peter 1:1-9,Psalm 147,"Tobit 13:1b-5, 7-11",Romans 11:13-27,
,,,12-Jan,,January 12th,Psalm 50,Malachi 1:11,II Thessalonians 1,Psalm 145,Isaiah 9:2-7,Galatians 3:27 - 4:7,
,,,,,,,,,,,,
Epiphany,1st Week,Sunday,,1st,First Sunday after Epiphany,"Psalm 72, Psalm 97",Isaiah 60:1-9,Matthew 2:1-12,"Psalm 84, Psalm 122",I Samuel 1:21,Matthew 18:1-14,
Epiphany,1st Week,Sunday,,2nd,First Sunday after Epiphany,"Psalm 92, Psalm 93",Proverbs 8:22-35,Colossians 1:9,"Psalm 19, Psalm 67",Isaiah 49:1-7,I John 1:1-9,
Epiphany,1st Week,Monday,,,Monday,"Psalm 1, Psalm 3",Proverbs 1:7-19,Ephesians 1,"Psalm 4, Psalm 8","Ezekiel 1:2-6, 24-28",John 1:1-18,
Epiphany,1st Week,Tuesday,,,Tuesday,Psalm 5,Proverbs 2:1-9,Ephesians 2:1-10,"Psalm 11, Psalm 12",Ezekiel 2,John 1:19-34,
Epiphany,1st Week,Wednesday,,,Wednesday,Psalm 7,"Proverbs 3:1-7, 11-12",Ephesians 2:11,"Psalm 13, Psalm 14",Ezekiel 3:4-14,John 1:35,
Epiphany,1st Week,Thursday,,,Thursday,Psalm 9,Proverbs 3:13-20,Ephesians 3:1-13,"Psalm 15, Psalm 21",Ezekiel 3:16-21,John 2:1-12,
Epiphany,1st Week,Friday,,,Friday,Psalm 10,Proverbs 3:27,Ephesians 3:14,"Psalm 6, Psalm 26","Ezekiel 7:10-15, 23-27",John 2:13,
Epiphany,1st Week,Saturday,,,Saturday,Psalm 16,Proverbs 4:7-18,Ephesians 4:1-16,Psalm 27,Ezekiel 11:14-20,John 3:1-13,
,,,,,,,,,,,,
Epiphany,2nd Week,Sunday,,1st,Second Sunday after Epiphany,Psalm 118,"Zechariah 8:1-8, 20-23",I Corinthians 12:12-31a,"Psalm 102:15, Psalm 117",Isaiah 45:1-15,Romans 9:14-26,
Epiphany,2nd Week,Sunday,,2nd,Second Sunday after Epiphany,"Psalm 29, Psalm 99",Exodus 34:29,Mark 9:2-13,"Psalm 62, Psalm 127",Isaiah 54:11,John 1:35,
Epiphany,2nd Week,Monday,,,Monday,Psalm 17,Proverbs 4:20,Ephesians 4:17,Psalm 18:1-20,Ezekiel 12:21,John 3:14-21,
Epiphany,2nd Week,Tuesday,,,Tuesday,"Psalm 23, Psalm 24",Proverbs 6:12-19,Ephesians 5:1-14,Psalm 25,Ezekiel 13:1-9,John 3:22,
Epiphany,2nd Week,Wednesday,,,Wednesday,Psalm 28,Proverbs 8:1-11,Ephesians 5:15,Psalm 31,Ezekiel 14:1-11,John 4:1-14,
Epiphany,2nd Week,Thursday,,,Thursday,Psalm 30,Proverbs 8:12-20,Ephesians 6,Psalm 33,Ezekiel 14:12-20,John 4:15-26,
Epiphany,2nd Week,Friday,,,Friday,Psalm 32,Proverbs 8:22-35,Philippians 1:1-11,Psalm 40:1-16,"Ezekiel 18:1-4, 19-23",John 4:27-42,
Epiphany,2nd Week,Saturday,,,Saturday,Psalm 36,"Proverbs 9:1-6, 13-18",Philippians 1:12-26,Psalm 34,Ezekiel 18:26,John 4:43,
,,,,,,,,,,,,
Epiphany,3rd Week,Sunday,,1st,Third Sunday after Epiphany,"Psalm 42, Psalm 43","Isaiah 41:8-10, 17-20",John 4:1-14,"Psalm 27, Psalm 134",Isaiah 56:1-8,John 2:13,
Epiphany,3rd Week,Sunday,,2nd,Third Sunday after Epiphany,"Psalm 11, Psalm 12","Deuteronomy 16:18-20, 17:8-11",James 2:1-13,Psalm 103,Isaiah 54:1-8,Romans 14:1-15:3,
Epiphany,3rd Week,Monday,,,Monday,Psalm 39,"Proverbs 10:12-14, 18-21",Philippians 1:27-2:11,Psalm 37:1-24,"Ezekiel 27:1-5, 26-36",John 5:1-15,
Epiphany,3rd Week,Tuesday,,,Tuesday,Psalm 41,Proverbs 10:22-29,Philippians 2:12-18,"Psalm 46, Psalm 47",Ezekiel 33:1-9,John 5:16-29,
Epiphany,3rd Week,Wednesday,,,Wednesday,Psalm 44,"Proverbs 11:9-14, 24-30",Philippians 2:19,Psalm 49,Ezekiel 33:10-20,John 5:30,
Epiphany,3rd Week,Thursday,,,Thursday,Psalm 45,Proverbs 14:26,Philippians 3:1-16,Psalm 50,Ezekiel 33:23,John 6:1-14,
Epiphany,3rd Week,Friday,,,Friday,Psalm 51,"Proverbs 15:16-23, 27-29",Philippians 3:17-4:3,"Psalm 54, Psalm 57",Ezekiel 34:1-10,John 6:15-29,
Epiphany,3rd Week,Saturday,,,Saturday,Psalm 55,Proverbs 16:25,Philippians 4:4,"Psalm 29, Psalm 99",Ezekiel 34:11-16,John 6:30-40,
,,,,,,,,,,,,
Epiphany,4th Week,Sunday,,1st,Fourth Sunday after Epiphany,Psalm 66,Isaiah 61,Luke 4:16-32,Psalm 145,Isaiah 45:20,Romans 10,
Epiphany,4th Week,Sunday,,2nd,Fourth Sunday after Epiphany,Psalm 18:1-20,"Deuteronomy 4:5-13, 32-40",Ephesians 2,"Psalm 30, Psalm 36:5",Daniel 10:10-19,Mark 6:45,
Epiphany,4th Week,Monday,,,Monday,"Psalm 56, Psalm 60:1-5","Proverbs 20:9-12, 17-22",Colossians 1:1-17,Psalm 65,Ezekiel 34:25,John 6:41-59,
Epiphany,4th Week,Tuesday,,,Tuesday,"Psalm 61, Psalm 62",Proverbs 21:21,Colossians 1:18 - 2:5,Psalm 71,Ezekiel 36:22-28,John 6:60,
Epiphany,4th Week,Wednesday,,,Wednesday,"Psalm 63, Psalm 64","Proverbs 22:1-6, 17-25",Colossians 2:6-19,Psalm 72,Ezekiel 37:1-14,John 7:1-13,
Epiphany,4th Week,Thursday,,,Thursday,Psalm 68:1-19,"Proverbs 23:20-21, 29-35",Colossians 2:20 - 3:11,Psalm 73,Ezekiel 37:21b,John 7:14-24,
Epiphany,4th Week,Friday,,,Friday,"Psalm 69:1-22, 30-37",Proverbs 24:23,Colossians 3:12-17,"Psalm 75, Psalm 76",Ezekiel 39:21,John 7:25-36,
Epiphany,4th Week,Saturday,,,Saturday,Psalm 77,"Proverbs 25:11-15, 17-22",Colossians 3:18 - 4:6,"Psalm 19, Psalm 67",Ezekiel 43:1-9,John 7:37,
,,,,,,,,,,,,
Epiphany,5th Week,Sunday,,1st,Fifth Sunday after Epiphany,"Psalm 15, Psalm 85",Ruth 1:1-17,Colossians 3:5-11,"Psalm 21, Psalm 22:23",Joel 3:9-17,Matthew 13:36-52,
Epiphany,5th Week,Sunday,,2nd,Fifth Sunday after Epiphany,"Psalm 112, Psalm 113","Habakkuk 1:12 - 2:4, 9-14",Luke 12:35-48,Psalm 7,Amos 5:14-24,Galatians 6:1-10,
Epiphany,5th Week,Monday,,,Monday,Psalm 79,Proverbs 26:17,I Peter 1:1-12,Psalm 81,Isaiah 14:3-11,I Thessalonians 1,
Epiphany,5th Week,Tuesday,,,Tuesday,"Psalm 82, Psalm 101","Proverbs 27:1-6, 10-12",I Peter 1:13,Psalm 90,Isaiah 14:12-20,I Thessalonians 2:1-13,
Epiphany,5th Week,Wednesday,,,Wednesday,Psalm 86,Proverbs 28:1-13,I Peter 2:1-10,Psalm 91,"Isaiah 22:1-5, 12-14",I Thessalonians 2:17 - 3:13,
Epiphany,5th Week,Thursday,,,Thursday,Psalm 89:1-19,Proverbs 29:11-25,I Peter 2:11-17,Psalm 94,"Isaiah 24:1-6, 10-16a",I Thessalonians 4:1-12,
Epiphany,5th Week,Friday,,,Friday,Psalm 92,Proverbs 30:4-9,I Peter 2:18,Psalm 102,Isaiah 31,I Thessalonians 4:13,
Epiphany,5th Week,Saturday,,,Saturday,Psalm 97,Proverbs 31:10,I Peter 3:1-12,"Psalm 84, Psalm 122","Isaiah 47:1, 7-15",I Thessalonians 5:1-11,
,,,,,,,,,,,,
Epiphany,6th Week,Sunday,,1st,Sixth Sunday after Epiphany,"Psalm 75, Psalm 138",Isaiah 2:6-19,Matthew 25:14-29,Psalm 9,"Genesis 19:1-3, 12-17, 24-28",Luke 17:20,
Epiphany,6th Week,Sunday,,2nd,Sixth Sunday after Epiphany,"Psalm 93, Psalm 98","Isaiah 66:1-2, 10, 12-16, 18-23",II Thessalonians 1,"Psalm 76, Psalm 96",II Esdras 8:63 - 9:13,"II Peter 3:1-14, 17-18",
Epiphany,6th Week,Monday,,,Monday,"Psalm 99, Psalm 100",Lamentations 1:1-6,I Peter 3:13,Psalm 103,Wisdom 1:1-7,I Thessalonians 5:12,
Epiphany,6th Week,Tuesday,,,Tuesday,Psalm 107:1-16,Lamentations 1:1-15,I Peter 4:1-6,Psalm 104,Wisdom 6:1-11,II Thessalonians 1,
Epiphany,6th Week,Wednesday,,,Wednesday,"Psalm 111, Psalm 112",Lamentations 2:1-10,I Peter 4:7-11,Psalm 105,Wisdom 6:12-21,II Thessalonians 2:1-12,
Epiphany,6th Week,Thursday,,,Thursday,Psalm 115,"Lamentations 4:1-6, 9",I Peter 4:12,"Psalm 114, Psalm 124",Wisdom 7:7-14,II Thessalonians 2:13 - 3:5,
Epiphany,6th Week,Friday,,,Friday,Psalm 106,Lamentations 4:11-20,I Peter 5:1-7,Psalm 116,Wisdom 7:15-22a,II Thessalonians 3:6,
Epiphany,6th Week,Saturday,,,Saturday,Psalm 118,Lamentations 5,I Peter 5:8,"Psalm 85, Psalm 134",Wisdom 7:22 - 8:1,Jude,
,,,,,,,,,,,,
Pre-Lenten,7th Week,Sunday,,1st,Septuagesima,"Psalm 20, Psalm 121",Joshua 1:1-9,II Timothy 2:1-13,Psalm 144,I Maccabees 2:49-64,I Timothy 6:11-19,
Pre-Lenten,7th Week,Sunday,,2nd,Septuagesima,"Psalm 1 & Psalm 18:21-35, or Psalm 1 & Psalm 125",Ezekiel 3:4-11,Matthew 5:1-16,Psalm 80,Isaiah 5:1-7,Matthew 21:23-32,
Pre-Lenten,7th Week,Monday,,,Monday,"Psalm 123, Psalm 127",Genesis 1:1-19,Mark 6:7-13,"Psalm 126, Psalm 128, Psalm 131","Amos 7:1-8, 8:1-3",Galatians 1:1-10,
Pre-Lenten,7th Week,Tuesday,,,Tuesday,Psalm 135,Genesis 1:20-2:3,Mark 6:14-29,"Psalm 129, Psalm 130","Amos 1:1-5, 13-2:3",Galatians 1:11,
Pre-Lenten,7th Week,Wednesday,,,Wednesday,"Psalm 137:1-6, Psalm 140","Genesis 2:4-9, 16-25",Mark 6:30-44,Psalm 132,Amos 2:6,Galatians 2:1-10,
Pre-Lenten,7th Week,Thursday,,,Thursday,Psalm 141,Genesis 3,Mark 6:45,Psalm 139,Amos 3,Galatians 2:11,
Pre-Lenten,7th Week,Friday,,,Friday,Psalm 143,Genesis 4:1-16,Mark 7:1-13,"Psalm 142, Psalm 146",Amos 4:4,Galatians 3:1-9,
Pre-Lenten,7th Week,Saturday,,,Saturday,Psalm 149,"Genesis 6:5-8, 13-22",Mark 7:14-23,"Psalm 148, Psalm 150",Amos 5:1-13,Galatians 3:10-18,
,,,,,,,,,,,,
Pre-Lenten,8th Week,Sunday,,1st,Sexagesima,Psalm 71,Isaiah 50:4-10,II Corinthians 12:1-12,Psalm 147,Ecclesiastes 11:1-6,John 4:31-38,
Pre-Lenten,8th Week,Sunday,,2nd,Sexagesima,Psalm 33,Isaiah 30:8-21,Mark 4:26-34,"Psalm 37:26, Psalm 124",Daniel 3:1-26,"Matthew 10:16-23, 40-42",
Pre-Lenten,8th Week,Monday,,,Monday,"Psalm 2, Psalm 3","Genesis 7:1, 7-10, 17-23",Mark 7:24,"Psalm 4, Psalm 8",Amos 5:14-24,Galatians 3:19,
Pre-Lenten,8th Week,Tuesday,,,Tuesday,Psalm 5,Genesis 8:6,Mark 8:11-26,"Psalm 11, Psalm 12",Amos 6:1-8,Galatians 4:1-11,
Pre-Lenten,8th Week,Wednesday,,,Wednesday,Psalm 7,Genesis 9:8-17,Mark 8:27-9:1,"Psalm 13, Psalm 14",Amos 8:4-12,Galatians 4:12-20,
Pre-Lenten,8th Week,Thursday,,,Thursday,Psalm 9,Genesis 11:1-9,Mark 9:2-13,Psalm 17,Amos 9:1-10,Galatians 4:21,
Pre-Lenten,8th Week,Friday,,,Friday,Psalm 22,Genesis 11:27-12:8,Mark 9:14-29,"Psalm 6, Psalm 26",Amos 7:10,Galatians 5:1-12,
Pre-Lenten,8th Week,Saturday,,,Saturday,Psalm 16,"Genesis 13:2, 5-18",Mark 9:30-37,"Psalm 93, Psalm 98","Hosea 4:1-2, 6-10",Galatians 5:13,
,,,,,,,,,,,,
Pre-Lenten,9th Week,Sunday,,1st,Quinquagesima,Psalm 103,Wisdom 7:7-14,John 15:1-17,Psalm 119:33-48 (Section V - VI),"Leviticus 19:1-2, 9-18",I John 4,
Pre-Lenten,9th Week,Sunday,,2nd,Quinquagesima,"Psalm 19, Psalm 23","Deuteronomy 10:12-15, 17-11:1",I John 2:1-17,Psalm 139,Isaiah 51:1-8,Mark 9:14-32,
Pre-Lenten,9th Week,Monday,,,Monday,Psalm 18:1-20,Genesis 18:1-16,Mark 9:38,"Psalm 20, Psalm 21:1-6",Hosea 5:10-6:6,Galatians 6:1-10,
Pre-Lenten,9th Week,Tuesday,,,Tuesday,Psalm 18:21-36,Genesis 18:20,Mark 10:1-16,Psalm 25,"Hosea 11:1-4, 13:5-16a",Galatians 6:11,
,,,,,,,,,,,,
Lent,1st Week,Wednesday,,,Ash Wednesday,"Psalm 32, Psalm 143",Isaiah 58:1-12,Hebrews 12:1-14,"Psalm 102, Psalm 130","Jonah 3, 4",Luke 15:11,
